Tina Leblanc
Jacopo Russo-Monteverdi
Gioffre Benedetti 
Tiziana Cerquiglini
Griselda Fischetti
Bettina Cibin
Licia Veltroni
Dott. Ciro Prodi 
Sig.ra Claudia Cavanna 
Dott. Adriano Scalfaro
Ruggero Callegaro
Serafina Gianetti-Errani
Ida Pisano
Matilda Naccari-Corradi
Sig. Michelotto Giovine 
Serafina Filzi-Necci
Giulia Comisso 
Pietro Amaldi
Sig.ra Francesca Bramante 
Luisa Finetti
Dott. Serena Comencini
Paoletta Gaito
Maura Pareto 
Sig.ra Gelsomina Golino 
Giustino Molesini
Tullio Leopardi-Ricciardi
Dott. Antonietta Miniati
Luciana Angeli
Oreste Tasca
Tiziana Tomasetti 
Roman Parri
Victoria Bruscantini
Giuliano Boccioni-Oscuro
Luchino Scarfoglio
Melania Ottino
Nadia Baggio
Priscilla Guidotti
Tiziana Schicchi
Gianfrancesco Morlacchi
Ida Tornatore
Graziella Dossi
Gianna Ossani 
Milena Badoglio-Trobbiani
Sig. Umberto Mondadori
Ranieri Tommaseo
Priscilla Rienzo
Dott. Martina Silvestri
Pellegrino Favata
Francesco Jilani
Ranieri Capuana
Adriana Angeli
Ezio Roccabonella
Maurilio Zola 
Antonio Callegari
Marta Vigorelli 
Eugenia Sobrero 
Elisa Leoncavallo-Renzi
Elladio Donarelli-Ferrata
Luca Montessori
Aria Scaduto
Sig. Patrizio Donati
Elisa Campano 
Sig. Napoleone Rismondo
Leopoldo Malipiero-Malatesta
Raffaele Bellini 
Santino Oscuro
Stefani Scaramucci
Ettore Comolli
Ivan Amato
Beatrice Serlupi
Ruggero Porzio
Ettore Lippomano
Diana Ponti 
Sabatino Mercati-Scalfaro
Barbara Gentileschi
Amalia Lamborghini
Dott. Pierpaolo Boito
Lidia Salvini
Sig. Ruggero Maderna 
Raffaello Gotti-Verdone
Filippa Solari 
Dott. Vittorio Castioni 
Dott. Paulina Roncalli 
Elena Tropea 
Azeglio Juvara
Allegra Tosi
Leopoldo Greggio
Dott. Virgilio Altera
Luca Garrone
Rolando Soranzo 
Paoletta Benedetti
Tatiana Pasqua 
Giorgio Strangio
Marisa Leonetti-Sonnino
Dario Tarchetti
Loretta Vivaldi
Sig. Gioacchino Ruggeri
Giuseppe Mazzini
Giuseppina Rastelli-Baracca
Dott. Gianluca Morrocco
Stella Contrafatto
Cristina Ceri
Lucio Satriani 
Ugo Traetta 
Alessandra Pometta
Camilla Lucarelli
Alessia Valier
Amalia Maffei-Zampa
Pellegrino Iadanza
Luigi Florio 
Luisa Tosto 
Sig.ra Cecilia Borromini
Gianpaolo Bartoli
Sergius Balbo 
Germana Ceravolo-Desio
Dott. Ottone Capecchi 
Chiara Columbo-Riccardi
Dott. Marina Parmitano
Giuliano Cossiga-Nicoletti
Filippa Bocca 
Camilla Spallanzani
Dott. Dario Loredan 
Luigina Samele
Rolando Mancini-Montesano
Antonella Tiepolo
Marco Garobbio
Sig. Gianni Blasi 
Patrizia Trupiano
Damiano Malenchini
Loredana Sinisi
Pasquale Scaramucci-Leone
Marissa Panzera
Sig. Torquato Pace
Santino Spanevello 
Giampiero Dallara 
Vincenza Botta
Eliana Borghese-Littizzetto
Milena Zetticci
Sig.ra Maria Combi
Renata Ossola
Uberto Badoglio
Matteo Fogazzaro 
Dott. Bernardo Castelli 
Claudio Monicelli
Sig.ra Margherita Albertini 
Loredana Gualandi 
Cristina Cocci
Piero Ferrucci-Pininfarina
Martina Marconi
Sig. Beppe Monte 
Sig. Guarino Zanichelli
Ninetta Finetti
Adamo Bixio-Papetti
Stella Cianciolo-Caracciolo
Sig. Amleto Monteverdi
Dott. Adriana Volterra 
Simonetta Salgari
Ivo Bandello-Gadda
Alina Pizziol
Evangelista Palladio
Sig.ra Teresa Sorrentino
Ornella Perini-Peruzzi
Romina Angiolello
Gianpaolo Rossi-Papafava
Giuseppina Chiesa
Mauro Bulzoni-Guidone
Sig.ra Tonia Travia 
Stella Civaschi
Eleanora Bernardini-Agnesi
Romina Antonacci 
Dott. Mario Folliero
Bianca Sobrero
Dott. Gianna Mennea 
Durante Gabbana
Gloria Tommaseo
Giuseppina Pennetta
Erika Errigo
Aria Cafarchia
Elisa Bova
Aurora Gilardoni
Morena Gregori-Malpighi
Marina Marzorati-Calbo
Martina Lettiere
Gianna Palombi
Dott. Elena Morabito
Sig. Vincentio Luzi
Nicoletta Parmitano-Capecchi
Martino Sagese
Sig.ra Ornella Tamburello
Ninetta Donà
Carmelo Vendetti
Calcedonio Caccianemico
Lazzaro Donatoni
Rosina Magrassi-Prodi
Severino Tron
Berenice Federici
Fabio Maggioli
Pasqual Marazzi
Dott. Giuseppina Ricci 
Teresa Tacchini
Marta Nolcini
Liliana Poerio
Alessandra Coppola
Sig. Giampaolo Ricciardi
Costanzo Vitturi
Elvira Cardano-Collodi
Arsenio Marzorati-Pisani
Giovanna Spallanzani 
Sergius Bembo
Dott. Venancio Micca
Bartolomeo Bruscantini
Benedetto Tomasetti
Stefani Ariosto
Alina Marini
Dott. Vincentio Gritti 
Tina Mascagni
Ruggiero Toso
Ruggiero Respighi
Gianpaolo Belletini
Priscilla Villadicani-Gaggini
Dott. Graziano Fusani 
Pasquale Roccabonella
Margherita Cavanna
Mirko Pastine-Bernetti
Sig. Nicolò Forza
Etta Anguillara
Leonardo Muti
Sig. Alessio Gucci
Sig.ra Patrizia Disdero
Giada Ficino
Giacomo Tarchetti
Rosaria Verdone
Tatiana Montanari
Ronaldo Barcaccia-Schicchi
Monica Leblanc
Sig.ra Cristina Pisaroni
Sig. Nanni T
Sig. Pier Canetta
Fedele Palumbo
Ciro Cocci
Dott. Allegra Marini
Dott. Gioele Rismondo 
Antonio Fioravanti
Rosa Agnesi
Angelica Capuana
Sig.ra Lilla Cannizzaro
Mario Nugnes 
Giosuè Avogadro
Liana Martinelli 
Sig.ra Veronica Porzio 
Uberto Dulbecco
Sandra Michelangeli-Marrone
Cecilia Petruzzi
Sig. Fredo Petrucci
Dott. Barbara Barozzi
Sig. Michele Corbo
Federigo Trussardi 
Lucio Fornaciari-Tacchini
Alberto Prada
Stefania Caffarelli-Marcacci
Santino Monaco
Rosario Bartoli-Buonauro
Armando Ceschi
Greco Mastandrea 
Luciano Cipolla
Giorgia Zacchia 
Licia Bottaro 
Dott. Cecilia Bondumier
Serafina Trupiano
Imelda Udinesi
Lisa Mazzacurati
Antonia Saffi
Flavia Comboni
Giorgia Rusticucci
Puccio Satta
Greca Staglieno
Fabia Contrafatto
Massimo Galtarossa
Annunziata Guariento-Milanesi
Lina Bonanno
Hugo Casalodi 
Donatello Corcos
Vincenzo Burcardo
Sandra Cremonesi
Baccio Lovato
Azeglio Veneziano
Dott. Allegra Sollima
Sig.ra Antonella Lollobrigida
Sig.ra Elvira Iannotti
Amalia Mascheroni
Isa Pascarella
Dott. Dina Barozzi 
Rita Fusani-Cabrini
Antonella Aldobrandi-Milanesi
Gloria Moretti-Ferrante
Nanni Missoni
Sig. Sandro Cianciolo 
Lolita Sgarbi
Temistocle Grisoni
Loredana Vittadello
Enzio Turrini
Pina Sgarbi
Giulietta Chittolini 
Fabrizia Federico-Mennea
Rosina Monicelli
Sig. Tiziano Lovato 
Dott. Melina Gasperi 
Lolita Sagnelli
Sig. Pompeo Fioravanti 
Maria Aldobrandi
Azeglio Ricciardi 
Beppe Boldù-Emanuelli
Jacopo Druso
Luca Tasso
Sig.ra Elvira Babato 
Dott. Calcedonio Lupo 
Augusto Tutino
Matilda Iannuzzi
Ermanno Tomasini
Achille Ruggeri
Fredo Marcacci
Victoria Cabibbo
Dino Gelli
Donatella Pacomio
Sig.ra Bianca Einaudi
Lorenzo Forza 
Giosuè Gullotta-Pertini
Sig.ra Antonella Giannetti
Fiamma Iannuzzi
Mariano Ossani
Agnolo Pininfarina
Dott. Nino Federico
Galasso Sollima
Edoardo Ciani
Dott. Chiara Perozzo
Daria Toso 
Torquato Pasolini 
Mauro Valentino-Valier
Dott. Giuseppina Rizzo 
Claudia Camilleri
Stella Torlonia
Bruno Soderini
Dott. Irma Pergolesi
Veronica Curiel
Sig. Livio Spinelli
Letizia Cristoforetti
Giorgio Mazzi
Gioele Guariento
Ippazio Morrocco-Faugno
Dott. Michela Beffa 
Filippa Papetti 
Giada Bataglia-Fioravanti
Lauretta Garobbio
Antonello Gaiatto
Laura Sansoni
Dott. Galasso Sonnino 
Claudia Trincavelli 
Dott. Vincentio Maderno
Armando Govoni 
Ludovica Ottino
Antonio Lussu 
Giacinto Draghi
Geronimo Donatoni-Meucci
Annetta Niggli
Alberto Gianetti
Valeria Versace 
Fabio Morucci
Elmo Falcone
Tullio Bertolucci
Martino Ungaretti 
Sig. Ezio Monteverdi
Nina Nugnes
Giampiero Casaleggio 
Dott. Virginia Forza 
Liana Burcardo
Emilio Puccini
Gustavo Costalonga
Benvenuto Pometta-Pacelli
Liana Bonino-Romano
Marisa Toscanini
Ignazio Cainero-Visintini
Sig. Pierpaolo Sobrero
Isa Capone 
Saverio Martucci
Lando Righi
Maria Ramazzotti 
Filippa Orlando-Acerbi
Sandro Pizzamano
Maurilio Comeriato
Antonella Coppola
Eva Gioberti
Aurora Tafuri
Marisa Berrè-Iacobucci
Olga Monicelli
Giulio Boccherini
Bruno Barracco-Interiano
Gianna Martinelli
Giovanni Galuppi
Fiorenzo Spadafora-Benigni
Antonella Argentero
Sonia Berengario
Michela Giannini
Bianca Mancini
Dott. Fabrizia Ubaldi 
Cassandra Cheda-Quasimodo
Atenulf Pizzamano-Mazzeo
Bruno Capone
Concetta Muti
Dott. Matilda Botta 
Vittoria Pellegrini
Valeria Muti
Giampaolo Ciampi
Melissa Mengolo
Griselda Bettoni 
Evangelista Passalacqua
Alessandra Dossi
Adelasia Cainero
Gino Polizzi
Marcella Prada
Giovanna Rosselli
Giuliana Crespi
Sig.ra Zaira Fracci 
Angelica Donarelli
Stefania Paoletti
Dott. Liberto Gasperi 
Clelia Naccari-Guarato
Amanda Scarlatti 
Clelia Vezzali
Piergiorgio Gentilini
Paoletta Surian
Griselda Gucci
Maura Zaccardo
Dott. Corrado Lombardi
Rossana Mocenigo
Dott. Alessandra Armellini 
Giacinto Magrassi
Concetta Boiardo
Flavio Vergerio 
Girolamo Anichini 
Morena Vergassola
Dott. Serena Villadicani 
Filippa Totino
Serena Ricolfi
Sig. Agostino Pareto 
Sig.ra Adelasia Gullotta
Sig. Gioacchino Interminei
Evangelista Fermi
Corrado Ferrabosco
Dott. Luciana Antelami
Laureano Cuzzocrea-Blasi
Giancarlo Moretti
Zaira Surian
Napoleone Paltrinieri
Filippa Gulotta-Oscuro
Gaspare Lanfranchi
Isabella Beccheria
Ilaria Filippini
Tiziana Argenti-Pellegrini
Fernanda Belletini 
Melania Bresciani
Sig. Arturo Stefanelli
Ninetta Zoppetti
Maria Franzese
Ramona Iacobucci-Detti
Corrado Lucciano
Sig.ra Lidia Pizzo
Dott. Gioele Binaghi 
Hugo Solari
Alessandro Montanariello
Sig. Benito Monduzzi
Loredana Togliatti
Lamberto Mondadori-Papetti
Sig. Giacobbe Donarelli
Simonetta Boaga
Dott. Tiziano Moccia 
Gioacchino Comencini
Gelsomina Carpaccio 
Cecilia Palombi-Bodoni
Luigi Monduzzi
Giancarlo Sismondi-Sauli
Lucrezia Pavarotti
Flavia Guinizzelli 
Luciana Canetta
Marta Sabatini
Filippo Broschi
Dott. Giancarlo Camicione
Jacopo Ferrata
Pellegrino Giannelli 
Pomponio Modigliani 
Flavia Sibilia 
Maria Pasolini
Vincentio Moneta
Annetta Proietti-Mazzocchi
Marcella Mascagni
Greco Merisi
Caterina Littizzetto
Agnolo Monaco 
Fortunata Vergassola-Cendron
Fiamma Interminelli
Pierangelo Bernini
Chiara Baggio
Paola Cusano 
Fabrizia Orsini
Dott. Alessandro Vanvitelli
Dott. Benedetto Cundari
Sig. Orlando Altera
Rosario Pizzo-Desio
Sig.ra Giulia Grimani
Sebastiano Interminei
Serafina Onio
Dott. Gelsomina Cossiga 
Fabio Seddio
Sig.ra Monica Pisano
Monica Scarlatti-Ruggieri
Gianluca Leonetti
Sig. Gianpietro Sraffa 
Dott. Lucia Bazzi
Alessia Peruzzi
Costantino Rossetti-Caccianemico
Dott. Damiano Navone 
Dott. Nico Barozzi 
Nicoletta Mercalli
Amadeo Santoro
Jolanda Briccialdi
Sig.ra Eliana Iannucci 
Eraldo Greco
Dott. Morena Tosi 
Giorgio Delle-Marenzio
Ida Trotta
Dott. Elena Ferrucci
Romeo Bartoli
Marina Zaccardo
Dott. Dionigi Trapanese
Ivo Ritacca 
Evangelista Ferrari
Mattia Turchetta
Dott. Annamaria Montalti 
Luciana Savorgnan
Griselda Parri
Ramona Miniati
Lisa Bodoni
Amico Ginesio
Geronimo Mondaini-Modigliani
Dott. Annamaria Giannuzzi 
Dott. Benito Fittipaldi
Sig. Orazio Giovine
Allegra Notarbartolo
Camillo Argan
Gionata Dallara
Melissa Bertolucci
Sig. Atenulf Montalti
Giuliana Paltrinieri-Cignaroli
Sandra Tosi
Dario Sagnelli
Ornella Zanzi
Piergiorgio Telesio 
Achille Montessori-Burcardo
Calogero Roero
Benvenuto Silvestri
Viridiana Letta
Dott. Adelasia Caffarelli
Simonetta Segni 
Alessandro Montanelli
Piergiuseppe Pennetta
Dott. Clelia Lucarelli 
Sig. Giustino Borromini
Germana Donini
Sig. Dionigi Sraffa
Ansaldo Castellitto
Stefani Trebbi
Teresa Sforza
Sig. Galasso Ferrari
Ronaldo Parisi
Sig.ra Fabrizia Boccherini
Luciana Salvini
Paloma Papafava
Rosaria Infantino
Gianfranco Travaglio
Dott. Annalisa Morlacchi 
Paloma Bassi 
Dott. Concetta Maspero 
Gianfranco Peruzzi-Taliercio
Giulia Gentilini-Cesaroni
Giada Malenchini 
Sig. Gioacchino Tartaglia
Sig. Flavio Puccini
Santino Palombi
Sig.ra Ida Trevisan
Niccolò Roncalli-Briccialdi
Dott. Milena Marazzi
Sig.ra Nicoletta Vigorelli 
Dott. Paola Bulzoni 
Raffaellino Einaudi
Claudio Agostinelli
Gelsomina Zabarella 
Sig.ra Eliana Onio 
Bettina Grassi 
Pasquale Grimani 
Imelda Camilleri
Ottavio Malenchini
Guido Magnani-Praga
Lisa Carpaccio
Simone Chiesa 
Ludovico Giannini
Morena Tosto
Sig.ra Alessia Taliercio 
Sig. Benedetto Abate
Fausto Mussolini
Sig.ra Veronica Foa
Dino Cociarelli
Eugenia Gualandi 
Piergiuseppe Castioni
Coriolano Fo 
Dott. Liliana Ostinelli 
Fabio Giunti
Angelica Opizzi-Mimun
Ruggero Fantini
Ettore Foscari
Micheletto Cattaneo-Boccaccio
Sig.ra Nina Renault 
Sig. Pierpaolo Cilea
Pierina Alfonsi 
Ida Scarpetta-Agostinelli
Gabriella Calgari-Pagliaro
Annetta Argentero
Sig.ra Lilla Amato 
Osvaldo Ovadia
Piergiorgio Catalano
Sig.ra Gianna Carfagna 
Dott. Liberto Donati
Dott. Claudio Bataglia 
Flora Bianchini
Severino Giacconi 
Ignazio Giannelli
Beatrice Marcacci 
Sig.ra Alessia Munari
Federico Villadicani
Ornella Canali-Ferragni
Diana Mortati
Stella Maderna
Maura Respighi
Romana Pacetti 
Griselda Gibilisco
Sig. Sabatino Sabbatini 
Dott. Gaspare Casale
Piersanti Pratesi
Giorgia Belletini-Lucchesi
Licia Torricelli 
Pompeo Santi
Pasqual Combi
Monica Tonisto-Ricolfi
Rosina Cicilia
Dott. Alberto Santi 
Susanna Miniati 
Amadeo Sommaruga
Pomponio Satta
Dott. Paola Soderini
Dott. Elena Proietti
Lisa Cantimori
Lauretta Oscuro 
Adelasia Branciforte
Aurora Borroni 
Tullio Boiardo
Sig.ra Sandra Interminei
Dott. Giulia Sobrero
Vito Letta
Maura Dibiasi
Lamberto Querini
Dott. Delfino Siffredi
Delfino Terragni
Dott. Benvenuto Piazzi 
Tatiana Naccari
Livia Ceschi
Sig.ra Luisa Anastasi
Sig.ra Tonia Tomaselli
Annibale Salgari
Carlo Dalla 
Girolamo Anguillara
Dott. Etta Contrafatto
Sig.ra Tina Esposito 
Amico Lopresti
Napoleone Leonardi
Ilaria Milanesi
Ettore Leblanc
Flavia Mannoia
Dott. Uberto Guidone
Mauro Boitani
Daria Cugia 
Raffaella Boaga 
Roberta Cheda
Sig. Achille Peano 
Dott. Natalia Marangoni
Luchino Pepe
Luciano Sauli
Anita Giannetti
Sig. Baldassare Folliero
Matteo Sanudo
Michela Pratesi
Michelangelo Cagnin
Augusto Garzoni
Sylvia Sabbatini 
Gioachino Nitti
Dott. Umberto Maderna 
Antonello Fantozzi 
Ottone Argenti-Maspero
Sig.ra Paoletta Farina 
Stefania Gilardoni
Sig.ra Morena Soffici
Dott. Nedda Pace 
Luca Asmundo
Annunziata Sauro
Dott. Alessandra Piccio 
Sig.ra Ludovica Caboto
Severino Stoppani
Michelotto Baracca
Francesco Ossola
Marisa Natta
Alessia Littizzetto-Iannelli
Luigi Galuppi 
Donatella Mascagni
Emilio Munari 
Sig.ra Angelina Gulotta 
Sig.ra Claudia Caccianemico
Sig. Cipriano Paganini
Sig. Ugolino Cuda 
Angelo Juvara
Giampaolo Fusani
Raffaello Botta
Dott. Orlando Nievo 
Graziella Barsanti 
Bianca Mazzacurati-Scandone
Maria Rismondo-Giannotti
Sig.ra Adele Rapisardi 
Achille Ziani
Ugo Druso-Cociarelli
Silvia Briccialdi
Bianca Dallara
Durante Manacorda
Annamaria Gremese 
Sig. Giacomo Bevilacqua 
Sig. Sante Bassi
Toni Gravina
Giada Norbiato-Gabbana
Sonia Palazzo 
Dott. Antonella Donà
Rocco Ruggeri
Tonia Interiano
Caterina Iannucci
Dott. Silvio Muti
Paola Spinola
Dott. Rita Carocci 
Vito Piovani-Prodi
Amleto Ortolani
Sandro Segrè
Coluccio Bruno 
Lando Savorgnan
Delfino Maderna
Dott. Lodovico Scaduto
Paloma Deledda
Sig.ra Lucrezia Regge
Michelotto Trevisan
Alessandra Callegari
Serena Bembo
Gionata Comboni 
Roberto Mussolini
Rosalia Vespucci
Isa Mazzacurati 
Lucio Mazzini
Jolanda Cannizzaro
Ezio Peranda
Graziella Gargallo-Trussardi
Leone Fibonacci
Rosina Fantoni
Dott. Giuseppe Bixio
Ugo Morosini 
Sig. Romeo Leblanc 
Calogero Conte-Greco
Sig. Enzio Bembo 
Teresa Prodi
Romana Bevilacqua 
Martina Tanzini
Nico Corcos
Beatrice Sollima
Sig.ra Marta Boitani
Pierpaolo Casaleggio 
Sig.ra Paloma Zaccardo 
Baccio Rizzo
Francesca Fattori
Sig. Ottone Cesarotti
Matilda Scotti
Annamaria Amato 
Fortunata Paolini
Sig. Gian Sagnelli 
Giuliana Interiano
Sig.ra Marcella Petrassi 
Dott. Lilla Maderno
Sig.ra Vanessa Ruggieri
Guglielmo Agazzi
Fiorenzo Lamborghini 
Dante Cilibrasi-Gemito
Sonia Abatantuono
Dott. Leonardo Burcardo 
Agostino Greco
Enzo Gotti
Monica Sforza
Giovanni Guidone
Alessia Armellini
Lucio Galvani
Rosina Marenzio
Dott. Imelda Cutrufo
Martina Dovara
Rosario Redi
Marcella Zoppetti
Umberto Baresi-Maccanelli
Marissa Legnante
Gilberto Omma
Giacomo Bonolis
Agostino Gremese
Margherita Papetti
Emilio Gangemi-Cutrufo
Vincentio Vespa 
Dott. Allegra Gagliano
Dionigi Toselli
Sig.ra Stefania Scarfoglio
Sig.ra Filippa Zacco 
Maria Pavanello
Dott. Fernanda Vespucci
Sig.ra Vincenza Pozzecco
Dott. Calcedonio Venditti 
Pierina Mercantini-Zacco
Eliana Trupiano 
Dott. Luigina Raimondi
Alessia Nibali
Cassandra Venditti 
Ansaldo Sommaruga 
Sig.ra Amanda Varano 
Donato Coardi-Filippelli
Dott. Giuseppe Gaito
Mariana Babbo
Sig. Orlando Tarantino
Gianna Paolucci
Dott. Raffaele Perozzo 
Camilla Priuli
Nino Zito
Dott. Nadia Mercati
Maurilio Giolitti-Barese
Sylvia Pasolini 
Dott. Antonello Barracco
Sig. Dionigi Trebbi 
Ottavio Frescobaldi
Giancarlo Paruta 
Ivan Granatelli
Nino Pavarotti-Carriera
Sig.ra Renata Pontecorvo 
Greco Tolentino 
Sig.ra Vittoria Montanariello
Sig.ra Erika Stucchi 
Sig. Saverio Ceci 
Toni Lercari
Giorgio Fioravanti
Uberto Fogazzaro 
Beatrice Parmitano-Calbo
Sig. Graziano Barcella 
Corrado Lucarelli
Agostino Maffei-Salvini
Napoleone Bosio
Guido Pinamonte
Sig. Simone Trapani
Berenice Gabbana
Amalia Argan
Priscilla Esposito
Sig. Amico Costalonga
Niccolò Cossiga
Monica Barsanti
Paolo Peruzzi-Udinese
Telemaco Bertoni
Sig.ra Margherita Lucchesi
Claudio Pugliese
Sandro Pisano 
Sebastiano Cundari
Dott. Augusto Capuana 
Ezio Lerner
Eugenia Villadicani
Sig. Mario Cappelli 
Sig. Bruno Trussardi 
Stefania Bompiani-Priuli
Arsenio Amato 
Dott. Stella Stefanelli 
Loretta Manzoni-Fogazzaro
Vanessa Castiglione
Gianna Rubbia-Pirandello
Paloma Sismondi 
Dott. Lucrezia Forza 
Gabriella Greggio
Dott. Adriana Soprano
Isa Anichini-Carriera
Imelda Modugno
Beatrice Gaiatto
Dott. Rosaria Malenchini 
Eliana Deledda
Antonia Bacosi
Silvia Bongiorno
Giulietta Iannuzzi 
Gustavo Lancisi-Tagliafierro
Virginia Borromeo
Eraldo Carfagna 
Massimiliano Pometta
Sig. Pierangelo Galilei 
Tatiana Argurio
Tatiana Cerquiglini
Annalisa Faranda
Diana Mondaini
Gianni Petrucci 
Dott. Gilberto Bignami 
Ezio Mercalli
Simonetta Colletti
Eraldo Caironi
Paloma Treves 
Marcella Onio-Sraffa
Lidia Badoglio
Carmelo Pedersoli
Berenice Bonanno 
Fiorenzo Munari
Dott. Melania Troisi 
Mirko Cusano
Rita Taccola 
Benito Orsini 
Torquato Cremonesi
Imelda Cimarosa
Paride Malacarne
Fabio Camanni
Gianna Saffi 
Santino Olivetti-Bandello
Sig.ra Simonetta Ottino 
Dott. Dina Lucchesi 
Antonella Callegari
Federica Bova
Dott. Teresa Barsanti 
Dott. Adamo Odescalchi
Stefania Redi
Isabella Anguissola
Sig.ra Lucia Tutino 
Valeria Lucarelli
Dott. Barbara Tosi
Agnolo Cattaneo
Nina Vergassola
Dott. Graziella Martinelli
Arturo Manacorda
Ennio Vigorelli
Sig. Gaetano Monteverdi
Guarino Sokolov-Parini
Ornella Lattuada
Sig.ra Tina Caboto 
Barbara Zeffirelli
Arnulfo Bertoni-Schiaparelli
Simonetta Luciani
Rosa Vento
Gioffre Maccanelli
Pasqual Puccini
Vito Munari
Carlo Marazzi
Paola Cabrini-Zanichelli
Viridiana Falloppio-Vigorelli
Marcello Maggioli
Alina Montesano
Margherita Pizziol
Fabrizio Morellato
Dott. Lauretta Cusano 
Irma Renier 
Dott. Edoardo Zoppetti
Natalia Santi 
Luchino Tasso
Alberico Paganini
Donna Venditti-Piane
Teresa Rastelli
Mario Troisi 
Dott. Luciano Tolentino
Luciana Pausini
Tonino Sansoni-Beccaria
Gianmarco Paolucci
Piergiuseppe Palumbo
Sig. Amico Garobbio 
Sig.ra Giuseppina Schiaparelli 
Salvatore Cimini
Alessio Treves 
Mario Roth
Laura Combi 
Dott. Renata Gadda 
Augusto Respighi 
Lucia Petrucelli 
Dott. Greca Novaro
Dott. Barbara Modiano 
Sig. Raffaello Ioppi 
Arsenio Alboni
Saverio Pizzo
Isabella Muratori
Dott. Elladio Montesano 
Fabio Cicilia 
Graziella Mercati
Rosario Mocenigo
Fedele Bodoni-Pugliese
Armando Antonini
Sig.ra Priscilla Ungaretti
Gustavo Fattori
Gianluigi Baggio
Sig.ra Claudia Romagnoli
Eliana Chiappetta
Serafina Roccabonella
Carolina Pontecorvo
Viridiana Tamborini
Dott. Bruno Leoncavallo 
Sandro Boccaccio
Gianluca Bosio
Patrizio Gucci
Gaetano Fabrizi
Stefani Mattarella 
Mariana Miniati
Erika Baroffio
Gianna Donatoni 
Dino Dovara
Dott. Antonia Contrafatto
Girolamo Bonolis
Laura Coardi
Dott. Teresa Morandi
Zaira Galvani
Rocco Trotta
Camilla Iannuzzi
Sig.ra Nina Maglio 
Ignazio Pigafetta 
Pietro Ossani 
Sig. Piersanti Ughi 
Gian Faggiani-Traversa
Fabrizio Pavarotti
Fiorenzo Pertini
Sig.ra Victoria Cuomo
Luigi Canevascini
Martino Gulotta
Enzo Toscani
Sig.ra Sole Marino 
Sig.ra Stella Tanzini 
Sig. Raffaellino Bazzi
Baccio Sinisi
Marco Sforza
Goffredo Tremonti-Martinelli
Sig. Ivo Cristoforetti
Maurilio Bernetti
Fredo Brunello 
Nino Palladio-Redi
Adriana Offredi
Ruggero Lucarelli
Ramona Soffici
Graziano Mazzi
Graziella Gullotta
Ugolino Mascheroni
Amedeo Grifeo
Lauretta Miniati
Raimondo Tasca
Benito Leone
Lara Costalonga
Saverio Traversa
Dott. Caterina Vezzali
Saverio Vendetti-Casagrande
Dott. Goffredo Tolentino 
Iolanda Munari
Fabio Basso 
Giulio Pisani
Antonietta Papetti 
Dott. Marta Juvara 
Sophia Interminei
Dott. Adriana Draghi
Adele Valentino
Dott. Marcella Serraglio 
Sig. Girolamo Smirnoff 
Toni Notarbartolo
Fortunata Traetta-Scalera
Pierpaolo Brugnaro
Lauretta Zaguri
Sig. Filippo Chiesa 
Atenulf Martinelli
Panfilo Brambilla
Dott. Eliana Coppola
Monica Pavanello-Romano
Elena Detti 
Benedetto Mocenigo
Emma Gravina
Jolanda Bianchini
Melania Fantoni
Gianni Carfagna 
Antonello Cundari-Carriera
Michela Capecchi-Mennea
Dott. Annunziata Gagliano 
Antonietta Trapanese-Garrone
Ermes Cremonesi
Marco Gelli
Mauro Cipolla
Dott. Michele Ferragni 
Aldo Sobrero
Geronimo Zamorani-Carnera
Sig.ra Anita Cutrufo 
Sig.ra Adelasia Jilani 
Dott. Giampiero Alfieri 
Lorenzo Gramsci 
Erika Gritti-Salieri
Antonella Luxardo
Etta Cuomo
Sig.ra Adele Littizzetto
Sig. Alphons Polizzi 
Oreste Roccabonella 
Antonietta Borzomì
Gaspare Faranda
Bianca Mazzacurati
Liana Gianinazzi
Tullio Lettiere 
Elladio Trebbi-Iannotti
Silvia Gramsci
Donato Angeli-Giunti
Luciana Respighi-Ferrara
Gabriele Rubbia
Filippa Sollima
Concetta Maspero
Adamo Martinelli
Nedda Canova
Giulietta Bompiani
Arnaldo Basadonna
Caterina Giannini 
Giovanni Orengo 
Cecilia Scaduto-Pometta
Dott. Agostino Tomasetti 
Dott. Giacomo Gregori 
Marcella Pizzo-Vismara
Bianca Sbarbaro
Ezio Binaghi
Piermaria Emo
Fabrizia Giacometti
Dott. Girolamo Falloppio
Luisa Ottino
Lazzaro Fogazzaro
Beatrice Franzese
Ida Fagiani
Loretta Satriani
Fiorenzo Querini-Innocenti
Sig. Michele Nolcini 
Dott. Piermaria Balbo 
Maura Gori
Romina T
Annamaria Sismondi
Baccio Mazzacurati
Sig. Durante Tozzo 
Dott. Adelasia Guarneri 
Atenulf Peano
Paloma Vittadello
Angelo Mengolo
Licia Anastasi
Giulia Cipolla 
Adamo Spinola
Greco Franzese 
Vanessa Errigo
Sig. Livio Giovine
Rossana Carpaccio
Antonina Foa
Bianca Notarbartolo
Sergius Sforza
Benedetto Schiavone 
Dott. Adelmo Trentini 
Puccio Ferrari
Camillo Brunelleschi
Fulvio Trezzini
Francesco Palladio
Silvio Gentili
Ludovica Sraffa
Eleanora Falloppio-Camanni
Rosario Toscani
Salvatore Ginesio
Sig. Federigo Camicione 
Raffaello Quasimodo
Delfino Pagnotto
Armando Pugliese-Treccani
